,7,5,9,11,6,1,2,8,12,4,3,10
电子产品,5305622,5306629,5130341,5131992,5132307,6372532,5814023,5304198,5305022,5134972,6127889,5306206
汽车用品,1435590,1438780,1391419,1390969,1388913,1724513,1575932,1436044,1437478,1391132,1658008,1434797
玩具,2195217,2195727,2120191,2121658,2122512,2633275,2405818,2194365,2194018,2126422,2535345,2194490
服装,5336879,5339405,5162396,5161454,5165951,6410272,5853633,5336162,5338655,5164449,6167541,5339051
食品,5308131,5310249,5134163,5134806,5134390,6374026,5822605,5311698,5309124,5137718,6136851,5310247
运动户外,1456911,1457841,1410673,1409091,1407720,1747989,1597875,1458325,1456366,1409915,1683894,1457316
家居,2751923,2754265,2661697,2659750,2663502,3304505,3015138,2749645,2752232,2663218,3180639,2751800
母婴,1476623,1476332,1427924,1428128,1428661,1773883,1619949,1476572,1477186,1430938,1707841,1478284
办公,1497411,1498998,1447271,1449099,1450310,1797507,1645369,1498236,1497975,1451506,1729401,1497414
