,0,5,2,1,6,4,3
电子产品,9345799,9340074,9345062,9308174,9345015,9344501,9343108
汽车用品,2529444,2530301,2531446,2520849,2533174,2530132,2528229
玩具,3864555,3862803,3867334,3852172,3863830,3864814,3863530
服装,9402700,9394787,9405344,9364254,9405638,9402198,9400927
食品,9351084,9346957,9353916,9316602,9349862,9353026,9352561
运动户外,2565537,2565917,2566451,2552294,2568762,2568420,2566535
家居,4848174,4847186,4847891,4829268,4845800,4843711,4846284
母婴,2602640,2598961,2602439,2592999,2601647,2602445,2601190
办公,2638267,2639975,2638162,2627785,2636155,2639928,2640225
